City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,ancud,-41.8697,-73.8203,280.34,87,59,1.97,CL,1733723123
124,grand falls-windsor,48.9332,-55.6649,270.65,90,100,3.13,CA,1733723124
125,la passe,45.5549,-0.8967,280.1,84,94,8.22,FR,1733723125
126,seymour,38.9592,-85.8903,283.57,96,100,5.11,US,1733723127
127,qaqortoq,60.7167,-46.0333,267.09,89,100,1.53,GL,1733723128
128,kardla,58.9978,22.7492,270.14,93,20,0.0,EE,1733723129
129,olinda,-8.0089,-34.8553,300.0,74,40,4.63,BR,1733723131
130,luderitz,-26.6481,15.1594,294.48,55,27,7.4,NA,1733723132
131,tondano,1.3038,124.9112,300.2,89,91,0.3,ID,1733723133
132,port elizabeth,-33.918,25.5701,296.66,82,40,5.14,ZA,1733723090
133,lihue,21.9789,-159.3672,295.92,94,75,3.6,US,1733723135
134,necochea,-38.5473,-58.7368,284.2,57,82,6.23,AR,1733722924
135,taoudenni,22.6783,-3.9836,288.68,26,97,2.18,ML,1733723137
136,minas de marcona,-15.2119,-75.1103,287.59,86,100,4.41,PE,1733723138
137,howrah,22.5892,88.3103,298.15,53,40,1.54,IN,1733723052
138,cockburn town,21.4612,-71.1419,298.83,79,77,10.27,TC,1733723140
139,mejit,10.2753,170.8646,301.12,78,3,9.82,MH,1733723141
140,la ronge,55.1001,-105.2842,266.29,86,100,7.72,CA,1733723142
141,praia da vitoria,38.7333,-27.0667,291.29,77,75,5.26,PT,1733723143
142,albany,42.6001,-73.9662,275.33,86,82,0.89,US,1733723011
143,ta`u,-14.2336,-169.5144,298.52,88,100,5.58,AS,1733723146
144,thompson,55.7435,-97.8558,256.24,85,100,1.03,CA,1733723147
145,tiksi,71.6872,128.8694,246.49,99,97,2.65,RU,1733723148
146,bredasdorp,-34.5322,20.0403,293.23,61,62,2.65,ZA,1733723149
147,hammerfest,70.6634,23.6821,275.4,87,75,10.29,NO,1733723150
148,nyala,12.05,24.8833,296.51,23,80,8.46,SD,1733723151
149,puerto deseado,-47.7503,-65.8938,283.12,53,97,3.78,AR,1733722894
150,rio grande,-32.035,-52.0986,288.19,60,0,3.61,BR,1733723016
151,isangel,-19.55,169.2667,300.09,82,45,3.86,VU,1733723154
152,quellon,-43.1167,-73.6167,279.31,88,33,2.19,CL,1733723155
153,richards bay,-28.783,32.0377,298.67,86,100,1.25,ZA,1733723156
154,buston,40.2342,69.6948,271.25,80,75,9.0,TJ,1733723157
155,st. john's,47.5649,-52.7093,276.57,82,75,12.35,CA,1733723116
156,assens,55.2702,9.9008,278.4,81,100,10.76,DK,1733723159
157,patrasaer,23.2167,87.5167,299.42,28,65,2.26,IN,1733723160
158,kokkola,63.8385,23.1307,269.84,98,37,1.03,FI,1733723161
159,sann,26.0418,68.1378,294.14,11,2,3.94,PK,1733723162
160,barreirinhas,-2.7469,-42.8264,299.28,82,99,3.72,BR,1733723163
161,myitkyina,25.3833,97.4,300.3,36,26,0.22,MM,1733723165
162,turpan,42.9333,89.1667,275.31,58,100,1.78,CN,1733723166
163,guajara mirim,-10.7828,-65.3394,296.14,96,100,0.99,BR,1733723167
164,aljezur,37.3191,-8.8033,279.27,81,2,4.97,PT,1733723168
165,jamestown,42.097,-79.2353,275.95,97,100,2.57,US,1733723001
166,mananara,-16.1667,49.7667,302.26,55,86,2.52,MG,1733723170
167,plymouth,41.8334,-70.8328,278.23,79,0,0.0,US,1733723016
