City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,coos bay,43.3665,-124.2179,278.14,100,0,1.54,US,1733728437
267,koh kong,11.6175,102.9806,304.71,53,10,4.08,KH,1733728438
268,birnin kebbi,12.4539,4.1975,291.14,26,5,4.51,NG,1733728440
269,sajir,25.1825,44.5996,296.9,20,100,6.32,SA,1733728441
270,mejit,10.2753,170.8646,301.1,77,0,9.81,MH,1733728442
271,saguenay,48.4168,-71.0657,263.2,81,40,4.12,CA,1733728443
272,acarau,-2.8856,-40.12,299.32,81,100,5.31,BR,1733728444
273,benghazi,32.1167,20.0667,291.11,61,100,7.75,LY,1733728445
274,luis correia,-2.8792,-41.6669,298.86,85,85,5.25,BR,1733728446
275,hammerfest,70.6634,23.6821,275.4,87,75,13.38,NO,1733728448
276,al jawf,29.5,38.75,286.57,53,0,2.49,SA,1733728449
277,stornoway,58.2093,-6.3865,278.13,86,75,0.0,GB,1733728450
278,ilabaya,-17.4208,-70.5133,291.28,75,100,0.49,PE,1733728451
279,cockburn town,21.4612,-71.1419,298.92,78,55,10.67,TC,1733728452
280,talara,-4.5772,-81.2719,293.61,81,100,5.9,PE,1733728453
281,prado,-17.3411,-39.2208,295.58,96,41,3.5,BR,1733728454
282,chinde,26.8212,87.7095,295.36,45,2,3.11,NP,1733728455
283,muynoq,43.7683,59.0214,273.92,51,16,6.34,UZ,1733728456
284,snihurivka,47.0758,32.8052,278.58,87,100,6.31,UA,1733728457
285,sierra vista,31.5545,-110.3037,281.39,39,0,4.63,US,1733728207
286,wenling,28.3669,121.36,285.97,67,69,4.57,CN,1733728459
287,puerto yuca,2.9383,-73.2083,295.38,83,12,1.16,CO,1733728460
288,constantia,44.1833,28.65,284.65,92,100,7.59,RO,1733728449
289,sidi amrane,33.4989,6.008,282.79,49,0,5.53,DZ,1733728462
290,hadibu,12.65,54.0333,299.12,60,99,7.71,YE,1733728463
291,pangai,-19.8,-174.35,299.52,87,3,8.1,TO,1733728464
292,chililabombwe,-12.3648,27.8229,296.04,68,91,2.28,ZM,1733728465
293,goba,7.0167,39.9833,289.62,39,75,2.48,ET,1733728467
294,parczew,51.6402,22.9006,275.13,87,100,5.59,PL,1733728468
295,hoi an,15.8794,108.335,299.13,87,100,5.55,VN,1733728469
296,shalqar,47.8333,59.6,266.82,57,15,4.13,KZ,1733728470
297,chimore,-16.9833,-65.1333,295.59,100,100,0.49,BO,1733728272
298,egilsstadir,65.2653,-14.3948,282.1,71,75,4.63,IS,1733728472
299,port hedland,-20.3167,118.5667,305.18,66,75,3.6,AU,1733728473
300,lindale,32.5157,-95.4094,286.38,96,100,5.14,US,1733728474
301,kilindoni,-7.9139,39.6668,301.64,68,20,2.22,TZ,1733728475
302,labasa,-16.4167,179.3833,298.84,88,100,2.94,FJ,1733728476
303,jayapura,-2.5333,140.7,302.81,76,61,2.78,ID,1733728477
304,buka,40.8108,69.1986,272.91,37,0,2.47,UZ,1733728478
305,kerikeri,-35.2268,173.9474,290.21,96,100,2.16,NZ,1733728479
306,qamdo,31.1667,97.2333,275.4,15,0,6.2,CN,1733728481
307,north bend,43.4065,-124.2243,278.1,100,0,1.54,US,1733728483
308,calvinia,-31.4707,19.776,300.05,24,0,1.03,ZA,1733728484
309,mata-utu,-13.2816,-176.1745,300.15,84,100,6.59,WF,1733728485
310,sarakhs,36.5449,61.1577,278.14,39,100,5.16,IR,1733728486
311,chernyshevsk,52.5243,117.0174,256.64,98,48,2.1,RU,1733728487
312,garachico,28.7781,-17.7646,291.21,73,75,5.66,ES,1733728488
313,palmer,42.1584,-72.3287,273.46,73,20,0.77,US,1733728489
314,yuzhno-kurilsk,44.0306,145.8556,271.57,66,99,11.41,RU,1733728490
315,astara,38.5,48.6667,286.14,78,92,1.38,AZ,1733728491
316,villa gesell,-37.2639,-56.973,282.13,70,98,4.73,AR,1733728492
317,coquimbo,-29.9533,-71.3436,286.0,87,0,1.03,CL,1733728493
318,iwon-up,40.3231,128.6553,275.74,50,0,1.67,KP,1733728494
319,tissemsilt,35.6072,1.8108,277.18,72,6,6.08,DZ,1733728495
320,chegdomyn,51.1167,133.0167,249.89,97,21,0.06,RU,1733728496
321,fortaleza,-3.7227,-38.5247,300.49,89,75,4.12,BR,1733728207
322,kertih,4.5141,103.4483,299.16,88,40,2.68,MY,1733728498
323,novotroitskaya,45.3267,41.5253,280.0,77,27,6.79,RU,1733728499
324,kingston,17.997,-76.7936,298.24,85,15,2.02,JM,1733728287
325,santa ana,33.7456,-117.8678,287.2,86,100,2.06,US,1733728406
326,sandnessjoen,66.0217,12.6316,277.27,75,75,8.23,NO,1733728503
327,mutoko,-17.397,32.2268,299.08,39,96,4.45,ZW,1733728504
328,candelaria,13.9311,121.4233,298.27,95,100,3.62,PH,1733728505
329,minot air force base,48.4209,-101.3391,268.25,86,100,11.83,US,1733728506
330,mimizan,44.2006,-1.2289,280.37,80,82,4.32,FR,1733728507
331,ambanja,-13.6833,48.45,304.14,57,19,1.42,MG,1733728508
332,praia,14.9215,-23.5087,296.45,78,20,4.63,CV,1733728509
333,biltine,14.5333,20.9167,299.67,20,32,9.45,TD,1733728510
334,vryburg,-26.9566,24.7284,303.26,36,70,7.02,ZA,1733728511
335,qui nhon,13.7667,109.2333,297.56,90,100,6.84,VN,1733728512
336,xai-xai,-25.0519,33.6442,304.86,58,89,1.27,MZ,1733728513
337,nova vicosa,-17.8919,-39.3719,296.33,94,91,3.01,BR,1733728514
338,tidjikja,18.5564,-11.4271,289.5,15,92,5.3,MR,1733728515
339,eraan,9.0629,117.7016,300.59,87,100,2.32,PH,1733728516
340,howrah,22.5892,88.3103,299.15,47,40,2.06,IN,1733728517
341,xixiang,35.1628,112.865,282.28,26,100,1.81,CN,1733728518
342,kattivakkam,13.2167,80.3167,304.24,78,91,4.58,IN,1733728519
343,livingston,55.9029,-3.5226,278.35,78,100,3.09,GB,1733728521
344,nueva gerona,21.8833,-82.8,295.45,74,55,6.64,CU,1733728522
345,magistral'nyy,56.1725,107.4458,261.58,82,100,3.18,RU,1733728523
346,caconda,-13.7333,15.0667,294.76,58,96,3.08,AO,1733728524
347,khandud,36.9513,72.318,255.51,68,9,0.4,AF,1733728525
348,kaa-khem,51.6833,94.7333,261.14,91,85,0.54,RU,1733728526
349,pasni,25.2631,63.471,296.0,23,15,9.75,PK,1733728527
350,salinopolis,-0.6136,-47.3561,299.21,85,100,4.82,BR,1733728528
351,al jumum,21.6169,39.6981,298.79,58,100,1.05,SA,1733728529
352,lorengau,-2.0226,147.2712,302.82,69,100,2.23,PG,1733728530
353,itoman,26.1247,127.6694,293.2,52,75,20.58,JP,1733728531
354,mount pearl,47.5166,-52.7813,277.01,92,100,12.35,CA,1733728532
355,peterhead,57.5058,-1.7981,280.4,66,100,3.98,GB,1733728533
356,dong ha,16.8163,107.1003,296.23,84,100,3.08,VN,1733728534
357,macapa,0.0389,-51.0664,297.14,100,40,2.57,BR,1733728535
358,thabazimbi,-24.5917,27.4116,299.25,56,100,1.93,ZA,1733728536
359,moab,38.5733,-109.5498,270.18,52,6,1.65,US,1733728537
360,nadym,65.5333,72.5167,260.46,89,100,7.59,RU,1733728538
361,san mateo del mar,16.2,-95.0,298.06,73,100,10.3,MX,1733728540
362,alaghsas,17.0187,8.0168,286.09,28,0,3.09,NE,1733728541
363,steyr,48.0427,14.4213,274.14,99,100,1.37,AT,1733728542
364,aparan,40.5932,44.3589,273.41,86,80,0.92,AM,1733728543
365,happy valley-goose bay,53.3168,-60.3315,256.32,92,100,2.06,CA,1733728509
